Rank,Prob,Token,BA Eta,Eta,Epsilon,Nucleus
0,0.430035650730133,' Swift',True,True,True,True
1,0.0304743535816669,"""'s""",True,True,True,True
2,0.0217687804251909,"','",True,True,True,True
3,0.020589618012309,' is',True,True,True,True
4,0.0188316293060779,' Hall',True,True,False,True
5,0.0133794639259576,' was',True,True,False,True
6,0.0132492007687687,' and',True,True,False,True
7,0.0122112203389406,' has',True,True,False,True
8,0.0121203633025288,'Made',True,True,False,True
9,0.0071236952207982,' W',True,True,False,True
10,0.0060341637581586,':',True,True,False,True
11,0.0053327204659581,' L',True,True,False,True
12,0.0048321606591343,'\n',True,True,False,True
13,0.0044987946748733,' R',True,True,False,True
14,0.0042902138084173,' M',True,True,False,True
15,0.0039082611910998,' had',True,True,False,True
16,0.0037836332339793,' (',True,True,False,True
17,0.0036978505086153,' &',True,True,False,True
18,0.0033777859061956,' He',True,True,False,True
19,0.0033576851710677,'-',True,True,False,True
20,0.0031079049222171,' Sch',True,True,False,True
21,0.0030217741150408,' Made',True,True,False,True
22,0.0029135597869753,' H',True,True,False,True
23,0.0029091865289956,' G',True,True,False,True
24,0.002812712220475,' Bennett',True,True,False,True
25,0.0027727796696126,' made',True,True,False,True
26,0.0027557879220694,' Walker',True,True,False,True
27,0.002702061086893,' said',True,True,False,True
28,0.0025021419860422,' B',True,True,False,True
29,0.0024533953983336,' Smith',True,True,False,True
31,0.002187666716054,' K',True,True,False,True
32,0.0021479902788996,' County',True,True,False,True
33,0.0020890543237328,' Taylor',True,True,False,True
34,0.0020864552352577,' Hill',True,True,False,True
35,0.0020421966910362,' Miller',True,True,False,True
36,0.0019931246060878,' Wilson',True,True,False,False
37,0.0018879848066717,' Martinez',True,True,False,False
38,0.0018806027946993,' will',True,True,False,False
40,0.0018654838204383,' says',True,True,False,False
41,0.0017307866364717,' Hanson',True,False,False,False
43,0.0017028688453137,' Lew',True,False,False,False
44,0.0016661630943417,' Hicks',True,False,False,False
47,0.0016034768195822,' Wood',True,False,False,False
48,0.0016025495715439,' Richardson',True,False,False,False
49,0.0015550213865935,' writes',True,False,False,False
50,0.0014832826564088,' Hein',True,False,False,False
61,0.0011294216383248,' Kits',True,False,False,False
